variable,description,variable_type,summary,summary for the subset,variable used in persistent leanness
da52,Meat stew;Food intake converted to frequency per day   (Before 1995),C,mean : 0.11 ; min : 0 ; max : 2.5 ; sd : 0.09; missing values : 131017,mean : 0.11 ; min : 0 ; max : 1 ; sd : 0.08; missing values : 51334,Y
da53,Steak; chop; e.g.;Food intake converted to frequency per day   (Before 1995),C,mean : 0.12 ; min : 0 ; max : 2.5 ; sd : 0.1; missing values : 131017,mean : 0.12 ; min : 0 ; max : 1 ; sd : 0.09; missing values : 51334,Y
da54,Bacon;Food intake converted to frequency per day   (Before 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.07; missing values : 131017,mean : 0.06 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,Y
da55,Sausage as main dish;Food intake converted to frequency per day   (Before 1995),C,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.11; missing values : 131017,mean : 0.13 ; min : 0 ; max : 1 ; sd : 0.09; missing values : 51334,Y
da56,Hamburger;Food intake converted to frequency per day   (Before 1995),C,mean : 0.05 ; min : 0 ; max : 4 ; sd : 0.06; missing values : 131017,mean : 0.06 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,Y
da57,White meat (poultry);Food intake converted to frequency per day   (Before 1995),C,mean : 0.07 ; min : 0 ; max : 2.5 ; sd : 0.07; missing values : 131017,mean : 0.07 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,N
da58,Blood-based food (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995),C,mean : 0.04 ; min : 0 ; max : 2.5 ; sd : 0.05; missing values : 131017,mean : 0.04 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,N
da59,Liver; kidney (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995),C,mean : 0.02 ; min : 0 ; max : 1 ; sd : 0.04; missing values : 131017,mean : 0.02 ; min : 0 ; max : 1 ; sd : 0.04; missing values : 51334,N
da60,Lean fish (e.g. perch; bass; cod);Food intake converted to frequency per day   (Before 1995),C,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.09; missing values : 131017,mean : 0.09 ; min : 0 ; max : 1 ; sd : 0.07; missing values : 51334,Y
da61,Fatty fish (e.g. (Baltic) herring; whitefish; salmon sik; lax);Food intake converted to frequency per day   (Before 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.08; missing values : 131017,mean : 0.06 ; min : 0 ; max : 1 ; sd : 0.06; missing values : 51334,Y
da62,Shellfish (e.g. shrimps; scallops) (Food item removed in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995),C,mean : 0.03 ; min : 0 ; max : 4 ; sd : 0.05; missing values : 131017,mean : 0.03 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,N
da63,Salty fish;Food intake converted to frequency per day   (Before 1995),C,mean : 0.02 ; min : 0 ; max : 4 ; sd : 0.05; missing values : 131017,mean : 0.02 ; min : 0 ; max : 1 ; sd : 0.04; missing values : 51334,N
da64,Smoked fish/meat;Food intake converted to frequency per day   (Before 1995),C,mean : 0.04 ; min : 0 ; max : 4 ; sd : 0.08; missing values : 131017,mean : 0.04 ; min : 0 ; max : 4 ; sd : 0.08; missing values : 51334,N
da65,Ice cream;Food intake converted to frequency per day   (Before 1995),C,mean : 0.11 ; min : 0 ; max : 4 ; sd : 0.14; missing values : 131017,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.13; missing values : 51334,Y
da66,Sweets (chocolate; candy);Food intake converted to frequency per day   (Before 1995),C,mean : 0.21 ; min : 0 ; max : 4 ; sd : 0.28; missing values : 131017,mean : 0.22 ; min : 0 ; max : 4 ; sd : 0.26; missing values : 51334,Y
da67,Sugar; honey;Food intake converted to frequency per day   (Before 1995),C,mean : 0.88 ; min : 0 ; max : 4 ; sd : 1.15; missing values : 131017,mean : 0.88 ; min : 0 ; max : 4 ; sd : 1.16; missing values : 51334,Y
da68,Marmelade; jam (Incorporated in ’sugar; honey’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995),C,mean : 0.27 ; min : 0 ; max : 4 ; sd : 0.35; missing values : 131017,mean : 0.25 ; min : 0 ; max : 4 ; sd : 0.32; missing values : 51334,Y
da69,Cookies; pastry;Food intake converted to frequency per day   (Before 1995),C,mean : 0.26 ; min : 0 ; max : 4 ; sd : 0.34; missing values : 131017,mean : 0.27 ; min : 0 ; max : 4 ; sd : 0.33; missing values : 51334,Y
da70,Chips; salty nuts; popcorn;Food intake converted to frequency per day   (Before 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.1; missing values : 131017,mean : 0.07 ; min : 0 ; max : 2.5 ; sd : 0.09; missing values : 51334,Y
da71,Milk; 0;5% fat;Food intake converted to frequency per day   (Before 1995),C,mean : 0.31 ; min : 0 ; max : 4 ; sd : 0.74; missing values : 131017,mean : 0.32 ; min : 0 ; max : 4 ; sd : 0.75; missing values : 51334,N
da72,Milk; sour milk; 1;5% fat;Food intake converted to frequency per day   (Before 1995),C,mean : 0.78 ; min : 0 ; max : 4 ; sd : 0.96; missing values : 131017,mean : 0.82 ; min : 0 ; max : 4 ; sd : 0.96; missing values : 51334,N
da73,Milk; sour milk; 3% fat;Food intake converted to frequency per day   (Before 1995),C,mean : 0.2 ; min : 0 ; max : 4 ; sd : 0.62; missing values : 131017,mean : 0.17 ; min : 0 ; max : 4 ; sd : 0.55; missing values : 51334,N
da74,Soft drinks (Incorporated in ’sodas’ in the short FFQ (after 1995));;Food intake converted to frequency per day   (Before 1995),C,mean : 0.27 ; min : 0 ; max : 4 ; sd : 0.48; missing values : 131017,mean : 0.27 ; min : 0 ; max : 4 ; sd : 0.45; missing values : 51334,Y
da75,Sodas (e.g. Coca-cola);Food intake converted to frequency per day   (Before 1995),C,mean : 0.13 ; min : 0 ; max : 4 ; sd : 0.24; missing values : 131017,mean : 0.13 ; min : 0 ; max : 4 ; sd : 0.21; missing values : 51334,Y
da76,Juice (Incorporated in ’sodas’ in the short FFQ (after 1995));Food intake converted to frequency per day   (Before 1995),C,mean : 0.26 ; min : 0 ; max : 4 ; sd : 0.41; missing values : 131017,mean : 0.26 ; min : 0 ; max : 4 ; sd : 0.38; missing values : 51334,N
da77,Brewed (filtered) coffee;Food intake converted to frequency per day   (Before 1995),C,mean : 1.99 ; min : 0 ; max : 4 ; sd : 1.35; missing values : 131017,mean : 2.05 ; min : 0 ; max : 4 ; sd : 1.35; missing values : 51334,N
da78,Boilded coffee;Food intake converted to frequency per day   (Before 1995),C,mean : 0.97 ; min : 0 ; max : 4 ; sd : 1.36; missing values : 131017,mean : 0.95 ; min : 0 ; max : 4 ; sd : 1.36; missing values : 51334,N
da79,Tea;Food intake converted to frequency per day   (Before 1995),C,mean : 0.6 ; min : 0 ; max : 4 ; sd : 0.79; missing values : 131017,mean : 0.63 ; min : 0 ; max : 4 ; sd : 0.81; missing values : 51334,N
da80,Light beer;Food intake converted to frequency per day   (Before 1995),C,mean : 0.13 ; min : 0 ; max : 4 ; sd : 0.26; missing values : 131017,mean : 0.13 ; min : 0 ; max : 4 ; sd : 0.25; missing values : 51334,N
da81,Medium beer;Food intake converted to frequency per day   (Before 1995),C,mean : 0.07 ; min : 0 ; max : 4 ; sd : 0.16; missing values : 131017,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.15; missing values : 51334,N
da82,Strong beer;Food intake converted to frequency per day   (Before 1995),C,mean : 0.03 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 131017,mean : 0.03 ; min : 0 ; max : 1 ; sd : 0.06; missing values : 51334,N
da83,Wine;Food intake converted to frequency per day   (Before 1995),C,mean : 0.05 ; min : 0 ; max : 2.5 ; sd : 0.07; missing values : 131017,mean : 0.05 ; min : 0 ; max : 2.5 ; sd : 0.07; missing values : 51334,N
da84,Liquor; spirits;Food intake converted to frequency per day   (Before 1995),C,mean : 0.03 ; min : 0 ; max : 4 ; sd : 0.06; missing values : 131017,mean : 0.03 ; min : 0 ; max : 1 ; sd : 0.05; missing values : 51334,N
dat01,Bregott on bread;Food intake converted to frequency per day   (After 1995),C,mean : 1.07 ; min : 0 ; max : 4 ; sd : 1.17; missing values : 11600,mean : 1.06 ; min : 0 ; max : 4 ; sd : 1.18; missing values : 0,N
dat02,Butter on bread;Food intake converted to frequency per day   (After 1995),C,mean : 0.1 ; min : 0 ; max : 4 ; sd : 0.46; missing values : 11600,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.41; missing values : 0,N
dat03,Low fat margarine on bread;Food intake converted to frequency per day   (After 1995),C,mean : 0.71 ; min : 0 ; max : 4 ; sd : 1.1; missing values : 11600,mean : 0.83 ; min : 0 ; max : 4 ; sd : 1.15; missing values : 0,N
dat04,Margarine on bread;Food intake converted to frequency per day   (After 1995),C,mean : 0.07 ; min : 0 ; max : 4 ; sd : 0.38; missing values : 11600,mean : 0.07 ; min : 0 ; max : 4 ; sd : 0.39; missing values : 0,N
dat05,Butter for cooking;Food intake converted to frequency per day   (After 1995),C,mean : 0.21 ; min : 0 ; max : 4 ; sd : 0.44; missing values : 11600,mean : 0.16 ; min : 0 ; max : 4 ; sd : 0.37; missing values : 0,N
dat06,Margarine for cooking;Food intake converted to frequency per day   (After 1995),C,mean : 0.54 ; min : 0 ; max : 4 ; sd : 0.63; missing values : 11600,mean : 0.58 ; min : 0 ; max : 4 ; sd : 0.62; missing values : 0,N
dat07,Oil for cooking;Food intake converted to frequency per day   (After 1995),C,mean : 0.36 ; min : 0 ; max : 4 ; sd : 0.51; missing values : 11600,mean : 0.35 ; min : 0 ; max : 4 ; sd : 0.48; missing values : 0,N
dat08,Salad dressing with oil;Food intake converted to frequency per day   (After 1995),C,mean : 0.15 ; min : 0 ; max : 4 ; sd : 0.28; missing values : 11600,mean : 0.15 ; min : 0 ; max : 4 ; sd : 0.27; missing values : 0,N
dat09,Cream; crème fraiche; sour cream;Food intake converted to frequency per day   (After 1995),C,mean : 0.2 ; min : 0 ; max : 4 ; sd : 0.25; missing values : 11600,mean : 0.18 ; min : 0 ; max : 4 ; sd : 0.21; missing values : 0,N
dat10,Whole grain crisp bread ;Food intake converted to frequency per day   (After 1995),C,mean : 1.29 ; min : 0 ; max : 4 ; sd : 1.02; missing values : 11600,mean : 1.4 ; min : 0 ; max : 4 ; sd : 1.01; missing values : 0,Y
dat11,Whole grain soft bread;Food intake converted to frequency per day   (After 1995),C,mean : 0.62 ; min : 0 ; max : 4 ; sd : 0.7; missing values : 11600,mean : 0.63 ; min : 0 ; max : 4 ; sd : 0.68; missing values : 0,Y
DAT12,White (soft) bread;Food intake converted to frequency per day   (After 1995),C,mean : 0.46 ; min : 0 ; max : 4 ; sd : 0.58; missing values : 48913,mean : 0.49 ; min : 0 ; max : 4 ; sd : 0.57; missing values : 17656,N
dat13,Coffee rolls/buns; rusk;Food intake converted to frequency per day   (After 1995),C,mean : 0.29 ; min : 0 ; max : 4 ; sd : 0.41; missing values : 11600,mean : 0.3 ; min : 0 ; max : 4 ; sd : 0.38; missing values : 0,N
dat14,Cheese 28% (e.g. Grevè);Food intake converted to frequency per day   (After 1995),C,mean : 0.65 ; min : 0 ; max : 4 ; sd : 0.72; missing values : 11600,mean : 0.67 ; min : 0 ; max : 4 ; sd : 0.73; missing values : 0,N
dat15,Cheese 10-17% (e.g. Drabant);Food intake converted to frequency per day   (After 1995),C,mean : 0.27 ; min : 0 ; max : 4 ; sd : 0.53; missing values : 11600,mean : 0.3 ; min : 0 ; max : 4 ; sd : 0.54; missing values : 0,N
DAT16,Sausage on bread;Food intake converted to frequency per day   (After 1995),C,mean : 0.25 ; min : 0 ; max : 4 ; sd : 0.38; missing values : 48913,mean : 0.26 ; min : 0 ; max : 4 ; sd : 0.35; missing values : 17656,N
dat17,Meat on bread;Food intake converted to frequency per day   (After 1995),C,mean : 0.3 ; min : 0 ; max : 4 ; sd : 0.41; missing values : 11600,mean : 0.3 ; min : 0 ; max : 4 ; sd : 0.39; missing values : 0,N
DAT18,Whole wheat; rye; or barley porridge;Food intake converted to frequency per day   (After 1995),C,mean : 0.21 ; min : 0 ; max : 4 ; sd : 0.34; missing values : 48913,mean : 0.21 ; min : 0 ; max : 4 ; sd : 0.33; missing values : 17656,N
dat19,Rosehip; sweet syrup soup;Food intake converted to frequency per day   (After 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.15; missing values : 11600,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.13; missing values : 0,N
dat20,Sour milk; yoghurt; 3% fat;Food intake converted to frequency per day   (After 1995),C,mean : 0.37 ; min : 0 ; max : 4 ; sd : 0.44; missing values : 11600,mean : 0.37 ; min : 0 ; max : 4 ; sd : 0.42; missing values : 0,N
dat21,Sour milk; yoghurt; low fat;Food intake converted to frequency per day   (After 1995),C,mean : 0.22 ; min : 0 ; max : 4 ; sd : 0.38; missing values : 11600,mean : 0.22 ; min : 0 ; max : 4 ; sd : 0.37; missing values : 0,N
dat22,Fiber cereals (e.g. muesli);Food intake converted to frequency per day   (After 1995),C,mean : 0.3 ; min : 0 ; max : 4 ; sd : 0.41; missing values : 11600,mean : 0.31 ; min : 0 ; max : 4 ; sd : 0.4; missing values : 0,Y
dat23,Corn flakes;Food intake converted to frequency per day   (After 1995),C,mean : 0.18 ; min : 0 ; max : 4 ; sd : 0.32; missing values : 11600,mean : 0.19 ; min : 0 ; max : 4 ; sd : 0.32; missing values : 0,N
dat24,Berries; fresh or frozen;Food intake converted to frequency per day   (After 1995),C,mean : 0.16 ; min : 0 ; max : 4 ; sd : 0.27; missing values : 11600,mean : 0.15 ; min : 0 ; max : 4 ; sd : 0.24; missing values : 0,Y
DAT25,Apple; pear; peach;Food intake converted to frequency per day   (After 1995),C,mean : 0.9 ; min : 0 ; max : 4 ; sd : 0.88; missing values : 48913,mean : 0.99 ; min : 0 ; max : 4 ; sd : 0.91; missing values : 17656,N
dat26,Banana;Food intake converted to frequency per day   (After 1995),C,mean : 0.4 ; min : 0 ; max : 4 ; sd : 0.46; missing values : 11600,mean : 0.41 ; min : 0 ; max : 4 ; sd : 0.44; missing values : 0,Y
dat27,Root vegetables; carrot;Food intake converted to frequency per day   (After 1995),C,mean : 0.46 ; min : 0 ; max : 4 ; sd : 0.49; missing values : 11600,mean : 0.46 ; min : 0 ; max : 4 ; sd : 0.49; missing values : 0,Y
dat28,Tomato; cucumber;Food intake converted to frequency per day   (After 1995),C,mean : 0.58 ; min : 0 ; max : 4 ; sd : 0.52; missing values : 11600,mean : 0.59 ; min : 0 ; max : 4 ; sd : 0.51; missing values : 0,Y
DAT29,Lettuce; lettuce cabbage;Food intake converted to frequency per day   (After 1995),C,mean : 0.55 ; min : 0 ; max : 4 ; sd : 0.53; missing values : 48913,mean : 0.56 ; min : 0 ; max : 4 ; sd : 0.52; missing values : 17656,N
dat30,Boiled or baked potato;Food intake converted to frequency per day   (After 1995),C,mean : 0.54 ; min : 0 ; max : 4 ; sd : 0.43; missing values : 11600,mean : 0.56 ; min : 0 ; max : 4 ; sd : 0.41; missing values : 0,N
DAT31,Fried potato;Food intake converted to frequency per day   (After 1995),C,mean : 0.11 ; min : 0 ; max : 4 ; sd : 0.15; missing values : 48913,mean : 0.1 ; min : 0 ; max : 4 ; sd : 0.11; missing values : 17656,N
dat32,Rice;Food intake converted to frequency per day   (After 1995),C,mean : 0.19 ; min : 0 ; max : 4 ; sd : 0.22; missing values : 11600,mean : 0.19 ; min : 0 ; max : 4 ; sd : 0.17; missing values : 0,N
dat33,Pasta;Food intake converted to frequency per day   (After 1995),C,mean : 0.24 ; min : 0 ; max : 4 ; sd : 0.21; missing values : 11600,mean : 0.24 ; min : 0 ; max : 4 ; sd : 0.18; missing values : 0,N
dat34,Brown beans; pea soup;Food intake converted to frequency per day   (After 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.12; missing values : 11600,mean : 0.05 ; min : 0 ; max : 2.5 ; sd : 0.09; missing values : 0,N
DAT35,Pancake; waffle;Food intake converted to frequency per day   (After 1995),C,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.09; missing values : 48913,mean : 0.09 ; min : 0 ; max : 2.5 ; sd : 0.06; missing values : 17656,N
dat36,Pizza;Food intake converted to frequency per day   (After 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.07; missing values : 11600,mean : 0.06 ; min : 0 ; max : 2.5 ; sd : 0.05; missing values : 0,N
dat37,Minced meat dishes;Food intake converted to frequency per day   (After 1995),C,mean : 0.19 ; min : 0 ; max : 4 ; sd : 0.16; missing values : 11600,mean : 0.2 ; min : 0 ; max : 4 ; sd : 0.14; missing values : 0,Y
dat38,Meat stew;Food intake converted to frequency per day   (After 1995),C,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.12; missing values : 11600,mean : 0.12 ; min : 0 ; max : 2.5 ; sd : 0.09; missing values : 0,Y
dat39,Steak; chop; e.g.;Food intake converted to frequency per day   (After 1995),C,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.12; missing values : 11600,mean : 0.12 ; min : 0 ; max : 2.5 ; sd : 0.09; missing values : 0,Y
dat40,Bacon;Food intake converted to frequency per day   (After 1995),C,mean : 0.07 ; min : 0 ; max : 4 ; sd : 0.09; missing values : 11600,mean : 0.07 ; min : 0 ; max : 1 ; sd : 0.06; missing values : 0,Y
dat41,Sausage as main dish;Food intake converted to frequency per day   (After 1995),C,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.12; missing values : 11600,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.1; missing values : 0,Y
dat42,Hamburger;Food intake converted to frequency per day   (After 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.07; missing values : 11600,mean : 0.06 ; min : 0 ; max : 1 ; sd : 0.06; missing values : 0,Y
dat43,White meat (poultry);Food intake converted to frequency per day   (After 1995),C,mean : 0.12 ; min : 0 ; max : 4 ; sd : 0.12; missing values : 11600,mean : 0.11 ; min : 0 ; max : 2.5 ; sd : 0.09; missing values : 0,N
dat44,Lean fish (e.g. perch; bass; cod);Food intake converted to frequency per day   (After 1995),C,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.11; missing values : 11600,mean : 0.09 ; min : 0 ; max : 2.5 ; sd : 0.08; missing values : 0,Y
dat45,Fatty fish (e.g. (Baltic) herring; whitefish; salmon sik; lax);Food intake converted to frequency per day   (After 1995),C,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.11; missing values : 11600,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.09; missing values : 0,Y
dat46,Salty fish;Food intake converted to frequency per day   (After 1995),C,mean : 0.02 ; min : 0 ; max : 4 ; sd : 0.06; missing values : 11600,mean : 0.02 ; min : 0 ; max : 2.5 ; sd : 0.05; missing values : 0,N
dat47,Smoked fish/meat;Food intake converted to frequency per day   (After 1995),C,mean : 0.04 ; min : 0 ; max : 4 ; sd : 0.11; missing values : 11600,mean : 0.04 ; min : 0 ; max : 4 ; sd : 0.1; missing values : 0,N
dat48,Ice cream;Food intake converted to frequency per day   (After 1995),C,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.12; missing values : 11600,mean : 0.1 ; min : 0 ; max : 4 ; sd : 0.11; missing values : 0,Y
dat49,Sweets (chocolate; candy);Food intake converted to frequency per day   (After 1995),C,mean : 0.22 ; min : 0 ; max : 4 ; sd : 0.28; missing values : 11600,mean : 0.23 ; min : 0 ; max : 4 ; sd : 0.26; missing values : 0,Y
DAT50,Sugar; honey;Food intake converted to frequency per day   (After 1995),C,mean : 0.51 ; min : 0 ; max : 4 ; sd : 0.81; missing values : 48913,mean : 0.58 ; min : 0 ; max : 4 ; sd : 0.85; missing values : 17656,N
dat51,Cookies; pastry;Food intake converted to frequency per day   (After 1995),C,mean : 0.22 ; min : 0 ; max : 4 ; sd : 0.31; missing values : 11600,mean : 0.23 ; min : 0 ; max : 4 ; sd : 0.3; missing values : 0,Y
dat52,Chips; salty nuts; popcorn;Food intake converted to frequency per day   (After 1995),C,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.12; missing values : 11600,mean : 0.08 ; min : 0 ; max : 2.5 ; sd : 0.1; missing values : 0,Y
dat53,Milk; 0;5% fat;Food intake converted to frequency per day   (After 1995),C,mean : 0.29 ; min : 0 ; max : 4 ; sd : 0.69; missing values : 11600,mean : 0.31 ; min : 0 ; max : 4 ; sd : 0.7; missing values : 0,N
dat54,Milk; sour milk; 1;5% fat;Food intake converted to frequency per day   (After 1995),C,mean : 0.73 ; min : 0 ; max : 4 ; sd : 0.91; missing values : 11600,mean : 0.76 ; min : 0 ; max : 4 ; sd : 0.91; missing values : 0,N
dat55,Milk; sour milk; 3% fat;Food intake converted to frequency per day   (After 1995),C,mean : 0.15 ; min : 0 ; max : 4 ; sd : 0.51; missing values : 11600,mean : 0.13 ; min : 0 ; max : 4 ; sd : 0.47; missing values : 0,N
dat56,Sodas (e.g. Coca-cola);Food intake converted to frequency per day   (After 1995),C,mean : 0.23 ; min : 0 ; max : 4 ; sd : 0.4; missing values : 11600,mean : 0.23 ; min : 0 ; max : 4 ; sd : 0.37; missing values : 0,Y
dat57,Brewed (filtered) coffee;Food intake converted to frequency per day   (After 1995),C,mean : 1.99 ; min : 0 ; max : 4 ; sd : 1.37; missing values : 11600,mean : 2.03 ; min : 0 ; max : 4 ; sd : 1.35; missing values : 0,N
dat58,Boilded coffee;Food intake converted to frequency per day   (After 1995),C,mean : 0.6 ; min : 0 ; max : 4 ; sd : 1.12; missing values : 11600,mean : 0.64 ; min : 0 ; max : 4 ; sd : 1.14; missing values : 0,N
dat59,Tea;Food intake converted to frequency per day   (After 1995),C,mean : 0.59 ; min : 0 ; max : 4 ; sd : 0.81; missing values : 11600,mean : 0.62 ; min : 0 ; max : 4 ; sd : 0.81; missing values : 0,N
dat60,Light beer;Food intake converted to frequency per day   (After 1995),C,mean : 0.08 ; min : 0 ; max : 4 ; sd : 0.21; missing values : 11600,mean : 0.09 ; min : 0 ; max : 4 ; sd : 0.21; missing values : 0,N
dat61,Medium beer;Food intake converted to frequency per day   (After 1995),C,mean : 0.06 ; min : 0 ; max : 4 ; sd : 0.14; missing values : 11600,mean : 0.07 ; min : 0 ; max : 4 ; sd : 0.14; missing values : 0,N
dat62,Strong beer;Food intake converted to frequency per day   (After 1995),C,mean : 0.05 ; min : 0 ; max : 4 ; sd : 0.08; missing values : 11600,mean : 0.05 ; min : 0 ; max : 2.5 ; sd : 0.07; missing values : 0,N
dat63,Wine;Food intake converted to frequency per day   (After 1995),C,mean : 0.07 ; min : 0 ; max : 4 ; sd : 0.11; missing values : 11600,mean : 0.08 ; min : 0 ; max : 2.5 ; sd : 0.11; missing values : 0,N
dat64,Liquor; spirits;Food intake converted to frequency per day   (After 1995),C,mean : 0.03 ; min : 0 ; max : 4 ; sd : 0.06; missing values : 11600,mean : 0.03 ; min : 0 ; max : 4 ; sd : 0.06; missing values : 0,N
DAT65,Water;Food intake converted to frequency per day   (After 1995),C,mean : 3.08 ; min : 0 ; max : 4 ; sd : 1.1; missing values : 48913,mean : 3.11 ; min : 0 ; max : 4 ; sd : 1.08; missing values : 17656,N
DAT66, Egg; egg dishes; omelet;Food intake converted to frequency per day   (After 2000),C,mean : 0.22 ; min : 0 ; max : 4 ; sd : 0.24; missing values : 48913,mean : 0.2 ; min : 0 ; max : 4 ; sd : 0.2; missing values : 17656,N
gramlong1,Bregott on bread;Food intake converted to gram per day   (Before 1995);,C,mean : 9.83 ; min : 0 ; max : 60 ; sd : 12.19; missing values : 131017,mean : 10.24 ; min : 0 ; max : 60 ; sd : 12.45; missing values : 51334,N
gramlong2,Butter on bread;Food intake converted to gram per day   (Before 1995);,C,mean : 1.79 ; min : 0 ; max : 80 ; sd : 7.67; missing values : 131017,mean : 1.37 ; min : 0 ; max : 80 ; sd : 6.7; missing values : 51334,N
gramlong3,Low fat margarine on bread;Food intake converted to gram per day   (Before 1995);,C,mean : 8.24 ; min : 0 ; max : 60 ; sd : 11.24; missing values : 131017,mean : 9.01 ; min : 0 ; max : 60 ; sd : 11.65; missing values : 51334,N
gramlong4,Margarine on bread;Food intake converted to gram per day   (Before 1995);,C,mean : 0.68 ; min : 0 ; max : 60 ; sd : 3.79; missing values : 131017,mean : 0.71 ; min : 0 ; max : 60 ; sd : 3.91; missing values : 51334,N
gramlong5,Butter for cooking;Food intake converted to gram per day   (Before 1995);,C,mean : 2.27 ; min : 0 ; max : 100 ; sd : 6.64; missing values : 131017,mean : 2.13 ; min : 0 ; max : 100 ; sd : 6.04; missing values : 51334,N
gramlong6,Margarine for cooking;Food intake converted to gram per day   (Before 1995);,C,mean : 10.27 ; min : 0 ; max : 100 ; sd : 11.66; missing values : 131017,mean : 10.97 ; min : 0 ; max : 100 ; sd : 11.6; missing values : 51334,N
gramlong7,Oil for cooking;Food intake converted to gram per day   (Before 1995);,C,mean : 2.64 ; min : 0 ; max : 100 ; sd : 5.9; missing values : 131017,mean : 2.6 ; min : 0 ; max : 80 ; sd : 5.4; missing values : 51334,N
gramlong8,Salad dressing with oil;Food intake converted to gram per day   (Before 1995);,C,mean : 2.31 ; min : 0 ; max : 108 ; sd : 5; missing values : 131017,mean : 2.4 ; min : 0 ; max : 108 ; sd : 4.74; missing values : 51334,N
gramlong9,Cream; crème fraiche; sour cream;Food intake converted to gram per day   (Before 1995);,C,mean : 4.42 ; min : 0 ; max : 204 ; sd : 6.82; missing values : 131017,mean : 4.69 ; min : 0 ; max : 160 ; sd : 6.21; missing values : 51334,N
gramlong10,Whole grain crisp bread ;Food intake converted to gram per day   (Before 1995);,C,mean : 31.2 ; min : 0 ; max : 104 ; sd : 22.61; missing values : 131017,mean : 32.45 ; min : 0 ; max : 104 ; sd : 22.73; missing values : 51334,N
gramlong11,Whole grain soft bread;Food intake converted to gram per day   (Before 1995);,C,mean : 26.6 ; min : 0 ; max : 264 ; sd : 35.96; missing values : 131017,mean : 25.98 ; min : 0 ; max : 264 ; sd : 34.62; missing values : 51334,N
gramlong12,White (soft) bread;Food intake converted to gram per day   (Before 1995);,C,mean : 24.66 ; min : 0 ; max : 224 ; sd : 30.67; missing values : 131017,mean : 26.54 ; min : 0 ; max : 224 ; sd : 30.35; missing values : 51334,N
gramlong13,Thin crisp bread (Incorporated in ’white (soft) bread’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 10.25 ; min : 0 ; max : 172 ; sd : 15.57; missing values : 131017,mean : 10.37 ; min : 0 ; max : 172 ; sd : 15.09; missing values : 51334,N
gramlong14,Coffee rolls/buns; rusk;Food intake converted to gram per day   (Before 1995);,C,mean : 17.9 ; min : 0 ; max : 188 ; sd : 21.35; missing values : 131017,mean : 17.28 ; min : 0 ; max : 176 ; sd : 19.91; missing values : 51334,N
gramlong15,Cheese 28% (e.g. Grevè);Food intake converted to gram per day   (Before 1995);,C,mean : 13.73 ; min : 0 ; max : 96 ; sd : 15.37; missing values : 131017,mean : 14.52 ; min : 0 ; max : 96 ; sd : 15.38; missing values : 51334,N
gramlong16,Cheese 10-17% (e.g. Drabant);Food intake converted to gram per day   (Before 1995);,C,mean : 7.55 ; min : 0 ; max : 84 ; sd : 12.3; missing values : 131017,mean : 7.95 ; min : 0 ; max : 84 ; sd : 12.67; missing values : 51334,N
gramlong17,Soft cheese (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 1 ; min : 0 ; max : 88 ; sd : 3.41; missing values : 131017,mean : 0.96 ; min : 0 ; max : 72 ; sd : 3.09; missing values : 51334,N
